ADDRESS,CITY,NEIGHBORHOOD,buyers_seen,buyers_pass,gate_pass_rate,hit_at_k_rate,hit_at_k_rate_pass,mean_U_total_all,mean_U_base_all,mean_U_text_all,mean_U_eco_all,mean_sim_desc_all,mean_sim_pers_all,mean_price,mean_recency_N,mean_rank,mean_A_i_all,mean_S_i_all,mean_L_i_all,mean_U_total_pass,mean_U_base_pass,mean_U_text_pass,mean_U_eco_pass,mean_sim_desc_pass,mean_sim_pers_pass,std_rank,overbudget_$median,overbudget_$p75,overbudget_share,rewrite_reason,needs_rewrite,rewrite_mode
"125 Guest Street , Boston, MA 02135",Boston,Allston-Brighton,1,1.0,1.0,0.6666666666666666,1.0,1.2514734652876651,0.5043282923297997,0.73,-0.003674242424242367,0.8300000000000001,0.58,4405.0,0.0,8.666666666666666,0.6666666666666666,1.0,0.0,1.2514734652876651,0.5613105864997863,0.695,-0.00483712121212115,0.765,0.59,8.621678104251709,2236.0,3192.5,1.0,price_pressure,True,heuristic
"131 Seaport Blvd , Boston, MA 02210",Boston,South Boston,1,1.0,1.0,0.5,1.0,1.1514135670649808,0.5337014695514982,0.621,-0.007170454545454501,0.705,0.495,6712.5,0.0,16.0,0.72,0.6,0.5,1.1514135670649808,0.6296999307013446,0.532,-0.0102863636363636,0.58,0.46,19.79898987322333,4732.5,5760.75,1.0,price_pressure,True,heuristic
"1550 Soldiers Field Road , Boston, MA 02135",Boston,Allston-Brighton,1,1.0,1.0,0.5,1.0,1.1433710922113194,0.5095521639856871,0.553,-0.0017075757575757001,0.525,0.595,3107.0,0.0,7.5,0.6666666666666666,1.0,0.25,1.1433710922113194,0.5757044255446527,0.5700000000000001,-0.0023333333333333,0.53,0.63,6.363961030678928,1127.0,1333.5,1.0,price_pressure,True,heuristic
"77 Exeter Street, Boston, MA 02116",Boston,Back Bay-Beacon Hill,1,1.0,1.0,0.6666666666666666,1.0,1.084919143194806,0.5337453918865132,0.5766666666666667,-0.006460606060606034,0.6166666666666667,0.5166666666666667,6244.0,0.0,11.666666666666666,0.6666666666666666,0.8000000000000002,0.25,1.084919143194806,0.5933092947099575,0.5,-0.0083901515151515,0.5,0.5,11.590225767142472,4535.0,5537.5,1.0,price_pressure,True,heuristic
"4 Lucy Street , Boston, MA 02125",Boston,North Dorchester,1,1.0,1.0,0.3333333333333333,1.0,1.0631420063952657,0.4091983999798632,0.522,-0.002560606060606,0.5433333333333333,0.49,3670.0,0.0,14.0,0.64,0.6,0.25,1.0631420063952657,0.5257329154861745,0.542,-0.004590909090909,0.55,0.53,8.54400374531753,1208.0,2119.0,1.0,price_pressure,True,heuristic
899 Congress St,Boston,South Boston,1,1.0,1.0,0.42857142857142855,1.0,0.9679954947415638,0.3300661603297085,0.6402857142857143,-0.0038004329004328427,0.6757142857142858,0.5871428571428572,4488.285714285715,0.0,15.428571428571429,0.72,0.4,0.0,0.9679954947415638,0.43089296948903844,0.5433333333333333,-0.006230808080808034,0.5166666666666667,0.5833333333333334,7.25389878748302,1806.0,3482.5,1.0,price_pressure,True,heuristic
"1 Nashua Street, Boston, MA 02114",Boston,Central,1,,,0.0,,,0.47199929788505457,0.705,-0.00128787878787875,0.725,0.675,2830.0,0.0,14.5,0.6666666666666666,0.8,0.5,,,,,,,2.1213203435596424,850.0,865.0,1.0,no_passers,True,heuristic
"100 Sudbury St , Boston, MA 02114",Boston,Central,1,,,0.0,,,0.39983661120414055,0.5546666666666668,-0.0028888888888888666,0.56,0.5466666666666667,3886.6666666666665,0.0,26.666666666666668,0.6666666666666666,0.8000000000000002,0.25,,,,,,,3.214550253664318,1965.0,2065.0,1.0,no_passers,True,heuristic
"770 Boylston Street, Boston, MA 02199",Boston,Back Bay-Beacon Hill,1,,,0.0,,,0.4289188414634219,0.718,-0.0013484848484848,0.83,0.55,2870.0,0.0,19.0,0.6666666666666666,0.6,0.5,,,,,,,,890.0,890.0,1.0,no_passers,True,heuristic
"771-775 Beacon Street , Boston, MA 02215",Boston,Fenway-Kenmore,1,,,0.0,,,0.3002032055706991,0.7533333333333333,-0.0019883838383837667,0.8666666666666667,0.5833333333333334,3292.3333333333335,0.0,22.666666666666668,0.64,0.4000000000000001,0.25,,,,,,,3.785938897200182,1094.0,1481.5,1.0,no_passers,True,heuristic
"790 Boylston Street, Boston, MA 02199",Boston,Back Bay-Beacon Hill,1,,,0.0,,,0.3384084323464701,0.77,-0.0008257575757575,0.85,0.65,2525.0,0.0,11.0,0.6666666666666666,0.6,0.25,,,,,,,,545.0,545.0,1.0,no_passers,True,heuristic
