"ADDRESS","AVAILABILITY_STATUS","AVAILABLE_AT","BATHS","BEDS","BUILDING_TYPE","CITY","CLUBHOUSE","COMPANY","DATE_POSTED","DESCRIPTION","DOORMAN","FURNISHED","GARAGE","GARAGE_COUNT","GRANITE","GYM","ID","LATITUDE","LAUNDRY","LONGITUDE","NEIGHBORHOOD","POOL","RENT_PRICE","SCRAPED_TIMESTAMP","SQFT","STAINLESS","STATE","YEAR_BUILT","ZIP"
"411 D Street , Boston, MA 02210","available","2025-01-08 03:49:44.87",1,1,"apartment building","Boston","N","Greystar","2025-01-08 00:00:00.000","Experience city living on a new level. Elevate your lifestyle in our studio, one, two, and three bedroom apartments designed with modern finishes and stunning views at Flats on D.  Perfectly nestled between Seaport and Southie, you can check out the best that both neighborhoods have to offer. Need weekend plans? Play life-sized Scrabble in our game room or hang out at the Lawn on D—Seaport’s public park and music venue conveniently located in our backyard. Discover where the best arts, games, food and beverage come together for you to enjoy. Features/amenities: Onsite Retail, Outdoor Putting Green, Gas Fire Pit and Grilling Stations, Rooftop Deck and Outoor Terrace, Secured Indoor Bike Storage, Work Nook Hospitality Bar, Game Room with Billiard Table, Covered Assigned Surface Parking, Two 24/7 Fitness Centers, Two Distinct Finish Packages, Views of Boston Harbor*, Expansive Closets, 9-foot Ceilings, Juliette Balconies and Personal Patio Spaces*, Washer and Dryer in Every Apartment, Kitchen Islands*, High-end Vinyl Plank Flooring, Stainless Steel Energy Star Appliances, Air Conditioning, Balcony or Patio, Dishwasher, Fitness Center, Covered Parking or Garages, Pet Friendly, Spacious Closets, Washer/Dryer Available, Smoke Free Community","N","N","N","","N","Y",511620430,42.344491,"Y",-71.043882,"South Boston","N",3048,"2025-01-08 03:49:47.459",730,"Y","MA","",2210
"144 Addison Street , Boston, MA 02128","available","2025-01-08 02:17:14.162",2,2,"apartment building","Boston","Y","Greystar","2025-01-08 00:00:00.000","We know you. You believe in individuality. You defy expectations. You kick tires and ask tough questions. If nothing in your life is average, why would your home be? At Addison, we’re creating a community for those who were born with a rebellious streak and a pioneering drive. Nestled into East Boston’s side streets you’ll find apartments for like-minded souls. 11 minutes from Downtown and miles from ordinary, Addison offers an apartment alternative for those who prefer to forge their own path. Features/amenities: 0, 0, Grill Stations & Fireplace Lounge, Elevated Pool w/Lounges, Elevated Deck w/Rope Hammock, Fitness Center & Studio, Co-Working Space & Private Offices, Gaming Lounge, Maker Space & Industrial Kitchen with 3D Printer, Balconies*, Wood-Look Tiles & Glass Shower Doors, Nest Thermostats, Washer/Dryer In All Homes, Open Kitchen Shelving, Stainless Steel or Matte Black Appliances, Quartz Countertops, Wide Plank Flooring, Smartphone-Enabled Keyless Entry, Air Conditioning, Balcony or Patio, Dishwasher, Greystar Green Community, Fitness Center, Covered Parking or Garages, Pet Friendly, Swimming Pool(s), Spacious Closets, Washer/Dryer Available, Smoke Free Community","N","N","N","","Y","Y",511603454,42.385808,"Y",-71.014398,"East Boston","Y",3153,"2025-01-08 02:17:14.469",969,"Y","MA","",2128
"3 Wainwright Road , Winchester, MA 01890","available","2025-01-08 09:17:49.762",2,3,"apartment building","Winchester","N","Greystar","2025-01-08 00:00:00.000","Information coming soon! Features/amenities: Air Conditioning, Balcony or Patio, Dishwasher, Pet Friendly, Spacious Closets, Washer/Dryer Available, Smoke Free Community","N","N","N","","N","N",511638438,42.456872,"Y",-71.16495,"","N",4651,"2025-01-08 09:18:02.410",1392,"N","MA","",1890
"3 Wainwright Road , Winchester, MA 01890","available","2025-01-08 02:13:00.951",1,1,"apartment building","Winchester","N","Greystar","2025-01-08 00:00:00.000","Information coming soon! Features/amenities: Air Conditioning, Balcony or Patio, Dishwasher, Pet Friendly, Spacious Closets, Washer/Dryer Available, Smoke Free Community","N","N","N","","N","N",511602829,42.456872,"Y",-71.16495,"","N",3194,"2025-01-08 02:13:00.961",708,"N","MA","",1890
"80 Fawcett Street , Cambridge, MA 02138","available","2025-01-08 02:04:12.268",1,1,"apartment building","Cambridge","Y","Greystar","2025-01-08 00:00:00.000","Come enjoy all that Cambridge, MA has to offer. Besides easy access to Fresh Pond Reservation, Harvard University and the Massachusetts Institute of Technology, Atmark Apartments has LEED Silver designed apartment homes to meet your every need. You'll love the sleek environment with 10' ceilings, granite countertops, modern wood cabinetry, stainless steel appliances and hardwood flooring. Plus, ENERGY STAR appliances, low-voltage lighting and high-efficiency heating and cooling systems keep utility costs in check. Kick back in social areas featuring courtyards, a grilling area with seating and fire pit, bocce courts, a sun-splashed pool with cabanas and the Skydeck Lounge with views of downtown Boston. Plus a fully-equipped fitness center with yoga studio, game room, theater lounge and more. Features/amenities: Two Pet Grooming Stations, Secure Bicycle Parking, Regulation-Sized Bocce Court, Lush Courtyards, Fire Pits & Grilling Stations, Relaxing Pool, 24 Hour Fitness Center, Co-Working Spaces, Indoor-Outdoor Sky Lounge, Balconies*, Generous Walk-In Closets, Front-Loading Washer & Dryer, Hardwood Floors, Stainless Steel Appliances, Granite Countertops, Gourmet Kitchens, 10-Foot Ceilings, Open Floor Plans, Air Conditioning, Dishwasher, Fitness Center, Controlled Access, Pet Friendly, Swimming Pool(s), Spacious Closets, Washer/Dryer Available, Smoke Free Community","N","N","N","","Y","Y",511601122,42.391185,"Y",-71.145939,"Cambridge Highlands","Y",2879,"2025-01-08 02:04:12.338",725,"Y","MA","",2138
"130 Arsenal Street , Watertown, MA 02472","available","2025-01-08 01:45:04.518",1,1,"apartment building","Watertown","Y","Greystar","2025-01-08 00:00:00.000","Elan Union Market features an array of thoughtfully designed amenities including a sparkling pool with sundeck, resident kitchen, top-of-the-line fitness offerings, and a tech lounge ideal for working from home. In your home you'll find a perfect blend of style and comfort, from our generous storage, stylish kitchens, and hardwood flooring to Nest thermostats. Located in one of the most walkable parts of town, Elan Union Market puts you moments away from parks, restaurants, and shops. Features/amenities: Resort-style Pool and Sundeck, Outdoor Lounge with Shaded Seating and Grills, Tech Lounge with Meeting Rooms and Coffee Bar, Gourmet Prep Kitchen Ideal for Events, Expansive Resident Lounge with Billiards and Gaming, Yoga and Wellness Room, Peleton Fitness Bikes with Studio Cycling Classes, Aktiv Virtual and Wellbeats Virtual Fitness Training, 24-Hour Fitness and Cardio Center, Spacious Walk-in Closets, Plush Neutral-toned Carpeting in Bedrooms, High-end chrome fixtures, Designer Pendant Lighting, Stylish Plank Flooring, Kitchen Island for Extra Prep Space*, Sleek Tile Backsplash, Stylish Quartz Countertops, GE Stainless Steel Appliances, Dishwasher, Fitness Center, Covered Parking or Garages, Controlled Access, Pet Friendly, Smoke Free Community","N","N","N","","Y","Y",511596411,42.365328,"N",-71.176359,"","Y",2945,"2025-01-08 01:45:18.842",752,"Y","MA","",2472
"1 Nashua Street, Boston, MA 02114","available","2025-01-08 09:39:21.093",1,0,"apartment building","Boston","Y","AvalonCommunities","2025-01-08 00:00:00.000","Room dimensions, square footage, and features shown on the floor plan drawings are approximate and may vary between individual apartments that have similar layouts. Furniture shown on the floor plan drawings is representative and individual apartments come unfurnished unless specified otherwise. Quoted rent is per month for new move-ins to the community, based on the move-in date selected. Pricing may vary based on lease term. Quoted rent does not including other fees and charges that may be part of your lease (i.e. utilities, parking, etc.). Please contact the community for details. Prior to signing a lease, quoted rent, specials, availability, and other terms and conditions are subject to change without notice. Washington State - We require our own screening and do not accept comprehensive reusable tenant screening reports. Features/amenities: Granite Countertops, Electric Stove, Microwave, Dishwasher, Garbage Disposal, Primary Exposure North, Stainless Steel Appliances, Central Air Conditioning, Washer/Dryer, Pet-friendly community with WAG Pet Spa, , , EV outlets, , , , , , , Furnished+ offers all the essential items you need to move in plus conveniences like flexible lease terms, included utilities, and immediate access to highspeed Wi-Fi and cable TV (Select Homes), Fully-equipped, modern kitchens with quartz stone countertops, tile backsplash, stainless steel appliances, and two-tone cabinetry, , , , , Sky pavilion lounge and rooftop deck with panoramic views, , , , , Bilt Rewards- Start earning points on rent with our free resident rewards program. Use your points for travel, future rent credit, fitness classes, and more, ","N","Y","N","","Y","Y",511639424,42.365735,"Y",-71.063603,"Central","N",2210,"2025-01-08 09:39:21.097",527,"Y","MA","",2114
"3 Wainwright Road , Winchester, MA 01890","available","2025-01-08 02:13:00.951",2,2,"apartment building","Winchester","N","Greystar","2025-01-08 00:00:00.000","Information coming soon! Features/amenities: Air Conditioning, Balcony or Patio, Dishwasher, Pet Friendly, Spacious Closets, Washer/Dryer Available, Smoke Free Community","N","N","N","","N","N",511602835,42.456872,"Y",-71.16495,"","N",4085,"2025-01-08 02:13:01.081",1389,"N","MA","",1890
"142 Pleasant Valley St","unknown","2025-01-08 01:23:21.919",2,2,"apartment building","Methuen","Y","Willow Bridge","2025-01-08 00:00:00.000","Only a mile from The Loop and minutes away from shopping, dining, and entertainment you’ll find Summit Place in Methuen. With businesses like The Home Depot, Super Target, Walmart, Starbucks, Old Navy, Gap, Carters, Not Your Average Joe’s, Olive Garden, T.G.I. Friday’s, Orange Leaf, and an AMC Imax and 3 theaters nearby, residents are never far from the best the area has to offer. Residents also have easy access to other areas of town via I-98 and I-495. Residents enjoy the close proximity to the seacoast, beaches, and the Mall at Rockingham Park. We are situated atop a lovely hillside that offers scenic views of 44-acres of beautifully landscaped grounds. Relax and enjoy community amenities like the resort-style swimming pool, sun deck, clubhouse, clubroom, fitness center, theater room, dog park, walking trail, garages, and even an onsite car wash. This pet-friendly community is designed so everyone can indulge in the fun and convenience of life at Summit Place in Methuen. Apartment amenities:  Community amenities: ","N","N","N","","N","Y",511589679,42.748754,"N",-71.14549,"","Y",2799,"2025-01-08 01:23:22.021",1132,"N","MA","",1844
"22 Water St , Cambridge, MA 02141","available","2025-01-08 13:00:29.987",2,2,"apartment building","Cambridge","Y","Greystar","2025-01-08 00:00:00.000","Where you work, where you play - it matters. It’s where you choose to spend your time, so why not make it your home too? Placed in the heart of East Cambridge near Kendall Square, ZINC Apartments puts you within minutes of the area’s best nightlife, restaurants, arts and culture. Your urban lifestyle doesn’t stop outside your front door. With a modern design, luxury amenities, and a 15,000-square foot garden terrace, you’ll feel the pulse of the city at every turn in any of our apartments for rent. Features/amenities: Stylish Pavilion Lounge, 15,000 SF Garden Terrace with Fireplace & Grills, Media Room and Wi-Fi Lounge, Boardroom with 70 inch TV, Clubroom Lounge with Fitness Center, Complimentary Weekly Fitness Classes, Private Yoga/Pilates/Spin Room, State-of-the-art Fitness Center, Clubroom, Glass Enclosed Stand Up Shower*, Kitchen Island for Entertaining*, Unique Self-closing Kitchen Drawers, Dark Wood Finished Cabinets, Luxe White Quartz Countertops, Sleek Stainless Steel GE Appliance Package, Resilient Wood Look Flooring, Floor-to-ceiling Windows for Abundant Lighting*, Tiered 7-9' Ceilings for an Open, Airy Feel, Dishwasher, Fitness Center, Covered Parking or Garages, Pet Friendly, Spacious Closets, Washer/Dryer Available, Smoke Free Community","N","N","N","","Y","Y",511648162,42.372864,"Y",-71.078157,"East Cambridge","N",4397,"2025-01-08 13:01:02.418",1308,"Y","MA","",2141
