ADDRESS,AVAILABILITY_STATUS,AVAILABLE_AT,BATHS,BEDS,BUILDING_TYPE,CITY,CLUBHOUSE,COMPANY,DATE_POSTED,DESCRIPTION,DOORMAN,FURNISHED,GARAGE,GARAGE_COUNT,GRANITE,GYM,ID,LATITUDE,LAUNDRY,LONGITUDE,NEIGHBORHOOD,POOL,RENT_PRICE,SCRAPED_TIMESTAMP,SQFT,STAINLESS,STATE,YEAR_BUILT,ZIP,A_i,S_i,Q_i,N_i,L_i,hr_beds_min,hr_baths_min,hr_zones,hr_pets,hr_parking,vb_social,vb_calm,vb_luxury,vb_practical,vb_urban,mv_rush,mv_risk,mv_comfort,mv_urban_vibe,w_A_base,w_A_eff,w_S_base,w_S_eff,w_Q_base,w_Q_eff,w_N_base,w_N_eff,w_L_base,w_L_eff,eta1,eta2,lambda_up,lambda_down,c_cap,budget,LLM_profile_rationale,sim_desc,sim_pers,sim_rationale,gate_ok,U_base,U_text,U_eco,U_total,tone_vector,tone_policy_flags,tone_keypoints,tone_risks,tone_social,tone_calm,tone_luxury,tone_practical,tone_urban
"131 Seaport Blvd , Boston, MA 02210",available,2025-01-01 01:30:42.753,2.0,3,apartment building,Boston,1,Greystar,2025-01-01 00:00:00.000,"The Alyx at EchelonSeaport is a defining contemporary landmark designed by internationally lauded Kohn Pedersen Fox architects of New York. The impressive stepped tower design takes inspiration from Boston’s Victorian neighborhoods full of brick and brownstone row houses, and puts a modern spin on it, showcasing oversized windows with city, courtyard, and water views. On the interior, the design team at world-renown Jeffrey Beers International, crafted the lobby and amenity spaces to feel like an extension of one’s own living room; warm, inviting, and comfortable. Our community of apartments in downtown Boston are designed with a sense of community, the amenity experiences encourage residents to gather and socialize. Features/amenities: 24/7 Concierge services, Outdoor terrace with BBQ grills, Resident lounge, Fitness center and outdoor yoga deck, Grand pool with cabana, Wood plank flooring, High efficiency designer appliances, Oversized windows with spectacular city or courtyard views, Caesarstone countertops, Italian kitchen cabinetry, Air Conditioning, Dishwasher, Fitness Center, Pet Friendly, Swimming Pool(s), Spacious Closets, Washer/Dryer Available, Smoke Free Community",1,0,0,,0,1,510939306,42.349961,1,-71.044345,South Boston,1,8769,2025-01-01 01:30:43.965,1384.0,0,MA,,2210.0,0.72,0.6,0.840101095197978,0.0,0.5,2,0,,False,any,0.5,0.8,0.2,0.7,0.3,0.35,0.5,0.75,0.7,0.21596046487678372,0.20675648372279695,0.17737422504132525,0.20313672063245877,0.3138625448494213,0.2773185042221163,0.06707539778651672,0.06083298957104714,0.22572736744595304,0.25195530185158094,0.6,0.4,0.003,1.0,0.15,1980.0,Auto-repaired JSON. Base weights auto-shaped from buyer_text (anti-flat). Mood shaped from text.,0.68,0.53,"The listing tone matches the buyer's personality in terms of luxury and urban appeal, but diverges on social and practical aspects.",True,0.6296999307013446,0.6200000000000001,-0.010286363636363637,1.2394135670649808,"{""social"": 0.8, ""calm"": 0.2, ""luxury"": 0.7, ""practical"": 0.5, ""urban"": 0.9}",{},(unspecified),,0.8,0.2,0.7,0.5,0.9
899 Congress St,unknown,2025-01-01 08:04:22.224,2.0,3,apartment building,Boston,0,Willow Bridge,2025-01-01 00:00:00.000,"Welcome to Ora, a beautiful residential community located in the Boston Seaport District near the Silver Line and I-90. At our community, you can choose from studio, one, two, and three bedroom apartment homes. Each stylish apartment features an open concept floor plan with hardwood flooring and keyless entry. We also offer chef-inspired kitchens with European style cabinetry, quartz countertops, and Bosch appliances. Each home also comes with a Nest thermostat, allowing you to set your ideal temperature from your smartphone. With a full-size washer and dryer set in your home, laundry days will always be simple. Select apartment homes also feature private balconies where you can enjoy beautiful views. Apartment amenities:  Community amenities: ",0,0,0,,1,0,510974597,42.347907,1,-71.037496,South Boston,0,7352,2025-01-01 08:04:42.632,1548.0,0,MA,,2210.0,0.72,0.4,0.8815501263689974,0.0,0.0,2,0,,False,any,0.5,0.8,0.2,0.7,0.3,0.35,0.5,0.75,0.7,0.21596046487678372,0.20675648372279695,0.17737422504132525,0.20313672063245877,0.3138625448494213,0.2773185042221163,0.06707539778651672,0.06083298957104714,0.22572736744595304,0.25195530185158094,0.6,0.4,0.003,1.0,0.15,1980.0,Auto-repaired JSON. Base weights auto-shaped from buyer_text (anti-flat). Mood shaped from text.,0.85,0.65,"The listing matches the buyer's preferences for a quiet street and good transport access, but does not explicitly mention at least 2 bedrooms.",True,0.4745895189748653,0.77,-0.00813939393939394,1.2364501250354714,"{""social"": 0.5, ""calm"": 0.3, ""luxury"": 0.2, ""practical"": 0.8, ""urban"": 0.9}",{},"open concept floor plan, hardwood flooring, keyless entry",,0.5,0.3,0.2,0.8,0.9
"1550 Soldiers Field Road , Boston, MA 02135",available,2025-01-01 12:41:36.462,2.0,2,apartment building,Boston,1,Greystar,2025-01-01 00:00:00.000,"1550 on the Charles is Brightons’s new premier luxury living destination. With sweeping views of the river and top of the line amenities, it’s where comfort meets convenience. Our apartments in Boston, MA are where serenity and sophistication convene. Where relaxation and refinement unite. It’s your respite from the hustle, where you can find peace and quiet and peace of mind. 1550 on the Charles is where all things merge into one. Features/amenities: Roof Deck with Trellis and Outdoor Dining with Nature Views, Podcasting Studio, EV Parking Stations, Pet Spa, Courtyard w/Grills & Fire Pits, State-of-the-Art Fitness Center, Business Lounge, Social Lounge & Kitchen, Roof Deck w/Views of the Charles River, Large Closets, Expansive Windows, Washer & Dryer Included, Ceramic Tile Baths, Central Cooling & Heating, Stainless Steel Appliances, Quartz Countertops, Wood Vinyl Plank Flooring, Designer Lighting, Air Conditioning, Balcony or Patio, Dishwasher, Fitness Center, Covered Parking or Garages, Controlled Access, Pet Friendly, Swimming Pool(s), Washer/Dryer Available, Smoke Free Community",0,0,0,,1,1,511103711,42.360104,1,-71.149582,Allston-Brighton,1,3520,2025-01-01 12:42:04.313,906.0,1,MA,,2135.0,0.6666666666666666,1.0,0.6192923336141534,0.0,0.25,2,0,,False,any,0.5,0.8,0.2,0.7,0.3,0.35,0.5,0.75,0.7,0.21596046487678372,0.20675648372279695,0.17737422504132525,0.20313672063245877,0.3138625448494213,0.2773185042221163,0.06707539778651672,0.06083298957104714,0.22572736744595304,0.25195530185158094,0.6,0.4,0.003,1.0,0.15,1980.0,Auto-repaired JSON. Base weights auto-shaped from buyer_text (anti-flat). Mood shaped from text.,0.55,0.73,"The listing tone matches the buyer's personality in terms of calmness and luxury, but not social or practical aspects.",True,0.5757044255446527,0.622,-0.0023333333333333335,1.1953710922113194,"{""social"": 0.5, ""calm"": 0.8, ""luxury"": 0.9, ""practical"": 0.4, ""urban"": 0.7}",{},(unspecified),,0.5,0.8,0.9,0.4,0.7
"77 Exeter Street, Boston, MA 02116",available,2025-01-01 03:19:01.966,2.0,3,apartment building,Boston,0,AvalonCommunities,2025-01-01 00:00:00.000,"Room dimensions, square footage, and features shown on the floor plan drawings are approximate and may vary between individual apartments that have similar layouts. Furniture shown on the floor plan drawings is representative and individual apartments come unfurnished unless specified otherwise. Quoted rent is per month for new move-ins to the community, based on the move-in date selected. Pricing may vary based on lease term. Quoted rent does not including other fees and charges that may be part of your lease (i.e. utilities, parking, etc.). Please contact the community for details. Prior to signing a lease, quoted rent, specials, availability, and other terms and conditions are subject to change without notice. Washington State - We require our own screening and do not accept comprehensive reusable tenant screening reports. Features/amenities: Kitchen Island, Quartz Countertops, Refrigerator, Electric Stove, Microwave, Dishwasher, Garbage Disposal, Floor to Ceiling Windows, Walk-in Closet, Hardwood flooring, Primary Exposure Southwest, Stainless Steel Appliances, Central Air Conditioning, Washer/Dryer, Cats and dogs are welcome. Please check the dog breed and pet restrictions., EV outlets, , , , Furnished apartment homes available, , , , , , , , Underground access to retail shopping and 24-hour supermarket, Bilt Rewards- Start earning points on rent with our free resident rewards program. Use your points for travel, future rent credit, fitness classes, and more, , ",0,1,0,,1,1,510958809,42.3487085,1,-71.0791485,Back Bay-Beacon Hill,0,8520,2025-01-01 03:19:01.976,1621.0,1,MA,,2116.0,0.6666666666666666,0.8,0.8999999999999999,0.0,0.25,2,0,,False,any,0.5,0.8,0.2,0.7,0.3,0.35,0.5,0.75,0.7,0.21596046487678372,0.20675648372279695,0.17737422504132525,0.20313672063245877,0.3138625448494213,0.2773185042221163,0.06707539778651672,0.06083298957104714,0.22572736744595304,0.25195530185158094,0.6,0.4,0.003,1.0,0.15,1980.0,Auto-repaired JSON. Base weights auto-shaped from buyer_text (anti-flat). Mood shaped from text.,0.55,0.65,"Buyer's personality and listing tone are similar in terms of social and urban preferences, but the buyer is more practical and calm.",True,0.6129225115839648,0.5900000000000001,-0.009909090909090909,1.1930134206748741,"{""social"": 0.5, ""calm"": 0.3, ""luxury"": 0.2, ""practical"": 0.1, ""urban"": 0.8}",{},(unspecified),,0.5,0.3,0.2,0.1,0.8
"77 Exeter Street, Boston, MA 02116",available,2025-01-01 01:25:56.242,2.0,2,apartment building,Boston,0,AvalonCommunities,2025-01-01 00:00:00.000,"Room dimensions, square footage, and features shown on the floor plan drawings are approximate and may vary between individual apartments that have similar layouts. Furniture shown on the floor plan drawings is representative and individual apartments come unfurnished unless specified otherwise. Quoted rent is per month for new move-ins to the community, based on the move-in date selected. Pricing may vary based on lease term. Quoted rent does not including other fees and charges that may be part of your lease (i.e. utilities, parking, etc.). Please contact the community for details. Prior to signing a lease, quoted rent, specials, availability, and other terms and conditions are subject to change without notice. Washington State - We require our own screening and do not accept comprehensive reusable tenant screening reports. Features/amenities: Kitchen Island, Quartz Countertops, Refrigerator, Electric Stove, Microwave, Dishwasher, Garbage Disposal, Walk-in Closet, Hardwood flooring, Primary Exposure Southeast, Stainless Steel Appliances, Central Air Conditioning, Washer/Dryer, Cats and dogs are welcome. Please check the dog breed and pet restrictions., EV outlets, , , , Furnished apartment homes available, , , , , , , , Underground access to retail shopping and 24-hour supermarket, Bilt Rewards- Start earning points on rent with our free resident rewards program. Use your points for travel, future rent credit, fitness classes, and more, , ",0,1,0,,1,1,510937881,42.3487085,1,-71.0791485,Back Bay-Beacon Hill,0,6515,2025-01-01 01:25:56.248,1457.0,1,MA,,2116.0,0.6666666666666666,0.8,0.7585509688289807,0.0,0.25,2,0,,False,any,0.5,0.8,0.2,0.7,0.3,0.35,0.5,0.75,0.7,0.21596046487678372,0.20675648372279695,0.17737422504132525,0.20313672063245877,0.3138625448494213,0.2773185042221163,0.06707539778651672,0.06083298957104714,0.22572736744595304,0.25195530185158094,0.6,0.4,0.003,1.0,0.15,1980.0,Auto-repaired JSON. Base weights auto-shaped from buyer_text (anti-flat). Mood shaped from text.,0.5,0.7,"Buyer's description of desired features (2+ bedrooms, quiet street) matches listing's approximate room dimensions and features, but buyer's tone is more social and practical, while the listing is more calm and practical.",True,0.5736960778359502,0.58,-0.006871212121212121,1.146824865714738,"{""social"": 0.5, ""calm"": 0.3, ""luxury"": 0.2, ""practical"": 0.8, ""urban"": 0.4}",{},(unspecified),,0.5,0.3,0.2,0.8,0.4
"125 Guest Street , Boston, MA 02135",available,2025-01-01 04:44:28.502,2.0,3,apartment building,Boston,0,Greystar,2025-01-01 00:00:00.000,"Lantera is a word meaning “beacon”, and it’s the heart and soul of the new 15-acre Boston Landing neighborhood. Lantera boasts some of the largest floorplans that you can find - perfect for your work from home office. Apartments feature floor-to-ceiling windows, premium finishes with stainless steel appliances, and technology touches throughout. The heart of Boston is less than five miles away and is easily accessible via the Boston Landing commuter rail stop - just a three-minute walk away. Lantera is surrounded by eclectic restaurants, curated retail shops and world-class athletic facilities. Features/amenities: Dog washing spa, BBQ grills & fire pit, The Grounds Zen garden, The Veranda open gathering space, Fit studio, spin & yoga room, Bocce court, Grilling stations & fire pits, Outdoor pool w/cabanas, Indoor/outdoor dog park & pet spa, Balconies & Juliet balconies*, Under cabinet lighting, Bosch high efficient washer/dryers, Light & dark cabinet options, Kitchen islands, Walk in closets, Quartz countertops, Keyless entry, Floor to ceiling windows, Air Conditioning, Balcony or Patio, Dishwasher, Fitness Center, Covered Parking or Garages, Controlled Access, Pet Friendly, Swimming Pool(s), Spacious Closets, Washer/Dryer Available",0,0,0,,1,1,510967449,42.35645,1,-71.142756,Allston-Brighton,1,6129,2025-01-01 04:44:55.786,1553.0,1,MA,,2135.0,0.6666666666666666,1.0,0.8828138163437236,0.0,0.0,2,0,,False,any,0.5,0.8,0.2,0.7,0.3,0.35,0.5,0.75,0.7,0.21596046487678372,0.20675648372279695,0.17737422504132525,0.20313672063245877,0.3138625448494213,0.2773185042221163,0.06707539778651672,0.06083298957104714,0.22572736744595304,0.25195530185158094,0.6,0.4,0.003,1.0,0.15,1980.0,Auto-repaired JSON. Base weights auto-shaped from buyer_text (anti-flat). Mood shaped from text.,0.55,0.48,"Similarity in description and personality traits, but listing tone is more urban than buyer's personality.",True,0.5857949835027162,0.522,-0.006286363636363636,1.1015086198663526,"{""social"": 0.5, ""calm"": 0.3, ""luxury"": 0.8, ""practical"": 0.2, ""urban"": 0.9}",{},(unspecified),,0.5,0.3,0.8,0.2,0.9
"4 Lucy Street , Boston, MA 02125",available,2025-01-01 04:33:20.765,2.0,2,apartment building,Boston,1,Greystar,2025-01-01 00:00:00.000,"The Andi offers the opportunity to live in one of Boston's most connected neighborhoods. With easy access to the MBTA Red Line & I-93, you can easily spend days, nights and weekends in your favorite Boston neighborhoods. Our front yard, known as South Bay Center, is alive with a new energy. Outside your door you'll find every convenience - from groceries to home decor - as well as retail therapy, grab-and-go or full-service dining, and even a gleaming, new luxury AMC Theater. Inside, you'll find modern and spacious studio, one, two and three bedroom apartment homes and an amenity suite that's nothing short of amazing. You will fall in love with The Andi apartments in Dorchester, MA! Features/amenities: Close to Quincy Center MBTA Red Line Station, Gargage Parking Available, Indoor Pet Spa, Lush Courtyard with Grilling Stations, Coworking Spaces and Conference Room, Saltwater Pool & Sundeck, Lounge & Fire Features, 2 State-of-the-Art Fitness Centers, Clubhouse w/Billiards, Generous Floor Plans, Washer & Dryers in Unit, Undercabinet Lighting, Patio or Balcony*, Generous Closet Space, High End Finishes, Modern Kitchens, Expansive Windows, Wood Plank Flooring, Air Conditioning, Dishwasher, Fitness Center, Controlled Access, Pet Friendly, Swimming Pool(s), Spacious Closets, Washer/Dryer Available",0,0,0,,0,1,510967084,42.324477,1,-71.062528,North Dorchester,1,5010,2025-01-01 04:34:02.897,1431.0,0,MA,,2125.0,0.64,0.6,0.7519797809604043,0.0,0.25,2,0,,False,any,0.5,0.8,0.2,0.7,0.3,0.35,0.5,0.75,0.7,0.21596046487678372,0.20675648372279695,0.17737422504132525,0.20313672063245877,0.3138625448494213,0.2773185042221163,0.06707539778651672,0.06083298957104714,0.22572736744595304,0.25195530185158094,0.6,0.4,0.003,1.0,0.15,1980.0,Auto-repaired JSON. Base weights auto-shaped from buyer_text (anti-flat). Mood shaped from text.,0.5,0.55,"Buyer's description of desired features (2+ bedrooms, quiet street) is partially matched by listing's amenities (close to Quincy Center MBTA Red Line Station, garage parking available), but buyer's tone is more practical and less luxury-oriented than the listing's.",True,0.5257329154861745,0.52,-0.004590909090909091,1.0411420063952654,"{""social"": 0.5, ""calm"": 0.3, ""luxury"": 0.8, ""practical"": 0.2, ""urban"": 0.9}",{},(unspecified),,0.5,0.3,0.8,0.2,0.9
"125 Guest Street , Boston, MA 02135",available,2025-01-01 04:44:28.502,2.0,2,apartment building,Boston,0,Greystar,2025-01-01 00:00:00.000,"Lantera is a word meaning “beacon”, and it’s the heart and soul of the new 15-acre Boston Landing neighborhood. Lantera boasts some of the largest floorplans that you can find - perfect for your work from home office. Apartments feature floor-to-ceiling windows, premium finishes with stainless steel appliances, and technology touches throughout. The heart of Boston is less than five miles away and is easily accessible via the Boston Landing commuter rail stop - just a three-minute walk away. Lantera is surrounded by eclectic restaurants, curated retail shops and world-class athletic facilities. Features/amenities: Dog washing spa, BBQ grills & fire pit, The Grounds Zen garden, The Veranda open gathering space, Fit studio, spin & yoga room, Bocce court, Grilling stations & fire pits, Outdoor pool w/cabanas, Indoor/outdoor dog park & pet spa, Balconies & Juliet balconies*, Under cabinet lighting, Bosch high efficient washer/dryers, Light & dark cabinet options, Kitchen islands, Walk in closets, Quartz countertops, Keyless entry, Floor to ceiling windows, Air Conditioning, Balcony or Patio, Dishwasher, Fitness Center, Covered Parking or Garages, Controlled Access, Pet Friendly, Swimming Pool(s), Spacious Closets, Washer/Dryer Available",0,0,0,,1,1,510967442,42.35645,1,-71.142756,Allston-Brighton,1,4216,2025-01-01 04:44:50.950,1250.0,1,MA,,2135.0,0.6666666666666666,1.0,0.7062342038753159,0.0,0.0,2,0,,False,any,0.5,0.8,0.2,0.7,0.3,0.35,0.5,0.75,0.7,0.21596046487678372,0.20675648372279695,0.17737422504132525,0.20313672063245877,0.3138625448494213,0.2773185042221163,0.06707539778651672,0.06083298957104714,0.22572736744595304,0.25195530185158094,0.6,0.4,0.003,1.0,0.15,1980.0,Auto-repaired JSON. Base weights auto-shaped from buyer_text (anti-flat). Mood shaped from text.,0.51,0.49,"Buyer wants at least 2 bedrooms, quiet street and good transport access; Listing has large floorplans, floor-to-ceiling windows, premium finishes and good location.",True,0.5368261894968565,0.502,-0.003387878787878788,1.0354383107089777,"{""social"": 0.5, ""calm"": 0.2, ""luxury"": 0.8, ""practical"": 0.3, ""urban"": 0.9}",{},(unspecified),,0.5,0.2,0.8,0.3,0.9
899 Congress St,unknown,2025-01-01 08:04:22.222,2.0,2,apartment building,Boston,0,Willow Bridge,2025-01-01 00:00:00.000,"Welcome to Ora, a beautiful residential community located in the Boston Seaport District near the Silver Line and I-90. At our community, you can choose from studio, one, two, and three bedroom apartment homes. Each stylish apartment features an open concept floor plan with hardwood flooring and keyless entry. We also offer chef-inspired kitchens with European style cabinetry, quartz countertops, and Bosch appliances. Each home also comes with a Nest thermostat, allowing you to set your ideal temperature from your smartphone. With a full-size washer and dryer set in your home, laundry days will always be simple. Select apartment homes also feature private balconies where you can enjoy beautiful views. Apartment amenities:  Community amenities: ",0,0,0,,1,0,510974596,42.347907,1,-71.037496,South Boston,0,5410,2025-01-01 08:04:41.045,1058.0,0,MA,,2210.0,0.72,0.4,0.6577085088458298,0.0,0.0,2,0,,False,any,0.5,0.8,0.2,0.7,0.3,0.35,0.5,0.75,0.7,0.21596046487678372,0.20675648372279695,0.17737422504132525,0.20313672063245877,0.3138625448494213,0.2773185042221163,0.06707539778651672,0.06083298957104714,0.22572736744595304,0.25195530185158094,0.6,0.4,0.003,1.0,0.15,1980.0,Auto-repaired JSON. Base weights auto-shaped from buyer_text (anti-flat). Mood shaped from text.,0.55,0.65,"Listing tone is more practical and urban, but less social and calm than the buyer's personality.",True,0.4125140964206814,0.5900000000000001,-0.005196969696969697,0.9973171267237116,"{""social"": 0.5, ""calm"": 0.3, ""luxury"": 0.2, ""practical"": 0.8, ""urban"": 0.6}",{},"residential community, Boston Seaport District, Silver Line, I-90",,0.5,0.3,0.2,0.8,0.6
899 Congress St,unknown,2025-01-01 08:04:19.451,2.0,2,apartment building,Boston,0,Willow Bridge,2025-01-01 00:00:00.000,"Welcome to Ora, a beautiful residential community located in the Boston Seaport District near the Silver Line and I-90. At our community, you can choose from studio, one, two, and three bedroom apartment homes. Each stylish apartment features an open concept floor plan with hardwood flooring and keyless entry. We also offer chef-inspired kitchens with European style cabinetry, quartz countertops, and Bosch appliances. Each home also comes with a Nest thermostat, allowing you to set your ideal temperature from your smartphone. With a full-size washer and dryer set in your home, laundry days will always be simple. Select apartment homes also feature private balconies where you can enjoy beautiful views. Apartment amenities:  Community amenities: ",0,0,0,,1,0,510974589,42.347907,1,-71.037496,South Boston,0,5515,2025-01-01 08:04:34.761,959.0,0,MA,,2210.0,0.72,0.4,0.632687447346251,0.0,0.0,2,0,,False,any,0.5,0.8,0.2,0.7,0.3,0.35,0.5,0.75,0.7,0.21596046487678372,0.20675648372279695,0.17737422504132525,0.20313672063245877,0.3138625448494213,0.2773185042221163,0.06707539778651672,0.06083298957104714,0.22572736744595304,0.25195530185158094,0.6,0.4,0.003,1.0,0.15,1980.0,Auto-repaired JSON. Base weights auto-shaped from buyer_text (anti-flat). Mood shaped from text.,0.55,0.63,"Buyer's description of desired features (2+ bedrooms, quiet street, good transport access) matches listing's amenities (various bedroom sizes, hardwood flooring, keyless entry, etc.) and tone (practical, urban).",True,0.4055752930715686,0.5820000000000001,-0.0053560606060606055,0.982219232465508,"{""social"": 0.5, ""calm"": 0.3, ""luxury"": 0.2, ""practical"": 0.8, ""urban"": 0.9}",{},"open concept floor plan, hardwood flooring, keyless entry",,0.5,0.3,0.2,0.8,0.9
